id,x,y,value
1,-0.2902572175,-0.02029676186,0.98
2,-0.05389409598,0.3056486067,0.91
3,0.2157548768,-0.1455285019,0.33
4,-0.2485646322,-0.1159075915,0.41
5,0.3561367702,-0.158562306,1
6,0.3096093997,-0.2010626951,0.92
7,0.3780176921,0.1083948289,0.33
8,-0.3268386455,-0.18870038,0.4
9,-0.10097284,0.7184590888,0.99
10,0.7532647044,-0.05267339933,0.9
11,-0.4225639298,-0.6762436476,0.34
12,-0.4939450245,0.6798570014,0.44
13,-0.2034831406,0.9573129102,0.49
14,0.8835060386,0.2367347296,0.42
15,0.7005527799,-0.1235263565,0.04
16,-0.6288936669,-0.2414096606,0.14
17,0.2021219647,0.2093034215,0.98
18,0.2445699561,-0.1910789914,0.91
19,-0.01815394126,-0.2596134552,0.33
20,-0.2246612349,0.1573094902,0.41
21,-0.2897077488,0.2608540287,1
22,-0.2323242474,0.2868965525,0.92
23,0.3592532054,0.1599498323,0.33
24,-0.2973958572,-0.2323511086,0.4
25,0.07583746952,0.7215453243,0.99
26,0.7181466748,-0.2333399994,0.9
27,-0.7393474434,-0.2987157572,0.34
28,0,0.8403494687,0.44
29,0.5752653383,-0.7917848111,0.49
30,-0.7108342392,-0.5756222172,0.42
31,0.7109265945,0.02482610373,0.04
32,-0.5649589407,-0.3668886259,0.14
33,0.04049463994,0.288134335,0.98
34,0.3101746639,-0.01083153794,0.91
35,0.08042087083,-0.2475099902,0.33
36,-0.267231442,0.06169523962,0.41
37,-0.3442084916,0.1830189015,1
38,-0.2948297822,0.2221701764,0.92
39,-0.369535619,-0.1344999658,0.33
40,0.3128794099,0.2110398267,0.4
41,0.6726902425,0.2717844998,0.99
42,0.1311224509,-0.7436323721,0.9
43,0.08335224098,0.7930435988,0.34
44,0.7419845406,-0.3945201784,0.44
45,-0.9733384299,0.1023019913,0.49
46,0.04787027339,0.9134192298,0.42
47,-0.5897441143,-0.3977874279,0.04
48,0.2846910033,0.6105218269,0.14
